county,county_pop,dac_pop,dac_share,mean_prod,total_emp,mean_upstream_kgCO2e_bbl,wm_upstream_kgCO2e_bbl,mean_capex_2020,wm_capex_2020,mean_opex_2020,wm_opex_2020,setback_scenario,mean_area_coverage,wm_area_coverage
Los Angeles,6194435.26255096,2482052.58817785,0.400690697856403,18478123.7894156,6089.9185042893,41.1593365131319,41.8723142166536,3.31445768444444,3.18096295276542,18.5141409388889,18.3864691367842,setback_1000,0.527009653799889,0.538620671124467
Los Angeles,6194435.26255096,2482052.58817785,0.400690697856403,18478123.7894156,6089.9185042893,41.1593365131319,41.8723142166536,3.31445768444444,3.18096295276542,18.5141409388889,18.3864691367842,setback_2500,0.75810530898783,0.767783012310502
Los Angeles,6194435.26255096,2482052.58817785,0.400690697856403,18478123.7894156,6089.9185042893,41.1593365131319,41.8723142166536,3.31445768444444,3.18096295276542,18.5141409388889,18.3864691367842,setback_5280,0.871143313708165,0.871200557430311
Monterey,249884.044922697,8928.87212590612,0.0357320617595587,7568682.42416054,1279.93257401136,63.9939445960503,63.9939445960503,9.84990442857143,9.84990442857143,18.3516457142857,18.3516457142857,setback_1000,0.0300234002426559,0.0300234002426559
Monterey,249884.044922697,8928.87212590612,0.0357320617595587,7568682.42416054,1279.93257401136,63.9939445960503,63.9939445960503,9.84990442857143,9.84990442857143,18.3516457142857,18.3516457142857,setback_2500,0.123044114083159,0.123044114083159
Monterey,249884.044922697,8928.87212590612,0.0357320617595587,7568682.42416054,1279.93257401136,63.9939445960503,63.9939445960503,9.84990442857143,9.84990442857143,18.3516457142857,18.3516457142857,setback_5280,0.317109076285759,0.317109076285759
Orange,1945562.36409428,210728.916030091,0.108312598927247,3997329.12220076,1630.80661334586,32.5008464875849,32.507004407326,3.33061217948718,3.37738594642356,16.4008716666667,16.27143908071,setback_1000,0.591422306187088,0.626994906448939
Orange,1945562.36409428,210728.916030091,0.108312598927247,3997329.12220076,1630.80661334586,32.5008464875849,32.507004407326,3.33061217948718,3.37738594642356,16.4008716666667,16.27143908071,setback_2500,0.846281358948768,0.891887326921758
Orange,1945562.36409428,210728.916030091,0.108312598927247,3997329.12220076,1630.80661334586,32.5008464875849,32.507004407326,3.33061217948718,3.37738594642356,16.4008716666667,16.27143908071,setback_5280,0.916060363265549,0.951843534837524
Riverside,1393394.34412432,275302.266480613,0.197576707298627,0,0,36.7594699726481,36.7594699726481,2.390623,2.390623,14.9211,14.9211,setback_1000,0.0131693146964333,0.0131693146964333
Riverside,1393394.34412432,275302.266480613,0.197576707298627,0,0,36.7594699726481,36.7594699726481,2.390623,2.390623,14.9211,14.9211,setback_2500,0.132484929995608,0.132484929995608
Riverside,1393394.34412432,275302.266480613,0.197576707298627,0,0,36.7594699726481,36.7594699726481,2.390623,2.390623,14.9211,14.9211,setback_5280,0.39691465285006,0.39691465285006
San Benito,36598.0311839082,0,0,161949.827490482,4.38378036037921,31.50141578201,31.50141578201,7.88061475,7.88061475,15.40551125,15.40551125,setback_1000,0.0359741085593312,0.0359741085593312
San Benito,36598.0311839082,0,0,161949.827490482,4.38378036037921,31.50141578201,31.50141578201,7.88061475,7.88061475,15.40551125,15.40551125,setback_2500,0.207392819890843,0.207392819890843
San Benito,36598.0311839082,0,0,161949.827490482,4.38378036037921,31.50141578201,31.50141578201,7.88061475,7.88061475,15.40551125,15.40551125,setback_5280,0.471564490394182,0.471564490394182
San Bernardino,1191167.53143405,441219.026462824,0.370408876013971,8626.8,2.91035080124248,34.5294959656298,34.5294959656298,3.36172833333333,3.36172833333333,16.1014966666667,16.1014966666667,setback_1000,0.118438343515213,0.118438343515213
San Bernardino,1191167.53143405,441219.026462824,0.370408876013971,8626.8,2.91035080124248,34.5294959656298,34.5294959656298,3.36172833333333,3.36172833333333,16.1014966666667,16.1014966666667,setback_2500,0.442866222127057,0.442866222127057
San Bernardino,1191167.53143405,441219.026462824,0.370408876013971,8626.8,2.91035080124248,34.5294959656298,34.5294959656298,3.36172833333333,3.36172833333333,16.1014966666667,16.1014966666667,setback_5280,0.751613236304996,0.751613236304996
San Luis Obispo,166225.229191896,0,0,569667.696387829,192.929780308333,70.2549881841217,64.0150787334277,6.54597175,6.22279858108837,17.9995235714286,17.0457409980036,setback_1000,0.0249584669830491,0.0126807202257213
San Luis Obispo,166225.229191896,0,0,569667.696387829,192.929780308333,70.2549881841217,64.0150787334277,6.54597175,6.22279858108837,17.9995235714286,17.0457409980036,setback_2500,0.0826166466014793,0.0548476195958702
San Luis Obispo,166225.229191896,0,0,569667.696387829,192.929780308333,70.2549881841217,64.0150787334277,6.54597175,6.22279858108837,17.9995235714286,17.0457409980036,setback_5280,0.205817451981403,0.140439802619431
San Mateo,517828.36557924,19458.7912452857,0.0375776850762496,50.6436661631644,0.0131577229468988,36.7594699726481,36.7594699726481,4.635805,4.635805,13.59492,13.59492,setback_1000,0.324902781128937,0.324902781128937
San Mateo,517828.36557924,19458.7912452857,0.0375776850762496,50.6436661631644,0.0131577229468988,36.7594699726481,36.7594699726481,4.635805,4.635805,13.59492,13.59492,setback_2500,0.6169250244393,0.6169250244393
San Mateo,517828.36557924,19458.7912452857,0.0375776850762496,50.6436661631644,0.0131577229468988,36.7594699726481,36.7594699726481,4.635805,4.635805,13.59492,13.59492,setback_5280,0.859846852693369,0.859846852693369
Santa Barbara,245030.900520226,0,0,3443872.14434065,431.531325052334,44.5574709741911,44.6822180436807,4.98749584545455,4.93815552343519,27.5679685909091,27.6858889962612,setback_1000,0.0370288806001112,0.037296485208637
Santa Barbara,245030.900520226,0,0,3443872.14434065,431.531325052334,44.5574709741911,44.6822180436807,4.98749584545455,4.93815552343519,27.5679685909091,27.6858889962612,setback_2500,0.106969373624596,0.107200065832292
Santa Barbara,245030.900520226,0,0,3443872.14434065,431.531325052334,44.5574709741911,44.6822180436807,4.98749584545455,4.93815552343519,27.5679685909091,27.6858889962612,setback_5280,0.249120353736266,0.248116178653902
Santa Clara,1207415.17081365,48775.6683818526,0.0403967662166973,22663.6,6.64629485148779,24.2246414689586,24.2246414689586,4.635805,4.635805,13.59492,13.59492,setback_1000,0,0
Santa Clara,1207415.17081365,48775.6683818526,0.0403967662166973,22663.6,6.64629485148779,24.2246414689586,24.2246414689586,4.635805,4.635805,13.59492,13.59492,setback_2500,0,0
Santa Clara,1207415.17081365,48775.6683818526,0.0403967662166973,22663.6,6.64629485148779,24.2246414689586,24.2246414689586,4.635805,4.635805,13.59492,13.59492,setback_5280,0,0
Sonoma,322983.992299866,3891.91846363969,0.0120498803545234,0,0,36.7594699726481,36.7594699726481,4.635805,4.635805,13.59492,13.59492,setback_1000,0,0
Sonoma,322983.992299866,3891.91846363969,0.0120498803545234,0,0,36.7594699726481,36.7594699726481,4.635805,4.635805,13.59492,13.59492,setback_2500,0.00635649034685966,0.00635649034685966
Sonoma,322983.992299866,3891.91846363969,0.0120498803545234,0,0,36.7594699726481,36.7594699726481,4.635805,4.635805,13.59492,13.59492,setback_5280,0.0841361994535824,0.0841361994535824
Tulare,248742.428686467,109676.05443045,0.440922182072498,33593.467502777,11.7167702324927,42.352036439981,42.352036439981,16.09738,16.09738,20.31043,20.31043,setback_1000,0.504434555164374,0.504434555164374
Tulare,248742.428686467,109676.05443045,0.440922182072498,33593.467502777,11.7167702324927,42.352036439981,42.352036439981,16.09738,16.09738,20.31043,20.31043,setback_2500,0.885747596308868,0.885747596308868
Tulare,248742.428686467,109676.05443045,0.440922182072498,33593.467502777,11.7167702324927,42.352036439981,42.352036439981,16.09738,16.09738,20.31043,20.31043,setback_5280,1,1
Ventura,515627.843805055,19689.1879862964,0.0381848812527284,7230662.13907455,960.239915232332,29.9724288837073,29.9816477089005,6.27660760769231,6.26538989838559,24.3353088461538,24.3182633994354,setback_1000,0.107591880549502,0.107828786206177
Ventura,515627.843805055,19689.1879862964,0.0381848812527284,7230662.13907455,960.239915232332,29.9724288837073,29.9816477089005,6.27660760769231,6.26538989838559,24.3353088461538,24.3182633994354,setback_2500,0.273545629066394,0.273587468510871
Ventura,515627.843805055,19689.1879862964,0.0381848812527284,7230662.13907455,960.239915232332,29.9724288837073,29.9816477089005,6.27660760769231,6.26538989838559,24.3353088461538,24.3182633994354,setback_5280,0.534934403535411,0.533822000093674
