county,county_pop,dac_pop,dac_share,mean_prod,total_emp,mean_upstream_kgCO2e_bbl,wm_upstream_kgCO2e_bbl,mean_capex_2020,wm_capex_2020,mean_opex_2020,wm_opex_2020,setback_scenario,mean_area_coverage,wm_area_coverage
Alameda,1023965.41340366,93887.0462521604,0.0916896655132907,7944.05989633668,3.00983403084538,23.215281407752,23.215281407752,4.635805,4.635805,13.59492,13.59492,setback_1000,0.133121870150331,0.133121870150331
Alameda,1023965.41340366,93887.0462521604,0.0916896655132907,7944.05989633668,3.00983403084538,23.215281407752,23.215281407752,4.635805,4.635805,13.59492,13.59492,setback_2500,0.537949422676262,0.537949422676262
Alameda,1023965.41340366,93887.0462521604,0.0916896655132907,7944.05989633668,3.00983403084538,23.215281407752,23.215281407752,4.635805,4.635805,13.59492,13.59492,setback_5280,0.972140043646733,0.972140043646733
Contra Costa,721874.055214322,81725.9598162842,0.113213599001034,25405.1719793274,47.2820729870452,36.7594699726481,36.7594699726481,4.635805,4.635805,13.59492,13.59492,setback_1000,0.408264896214618,0.408264896214618
Contra Costa,721874.055214322,81725.9598162842,0.113213599001034,25405.1719793274,47.2820729870452,36.7594699726481,36.7594699726481,4.635805,4.635805,13.59492,13.59492,setback_2500,0.809844701080185,0.809844701080185
Contra Costa,721874.055214322,81725.9598162842,0.113213599001034,25405.1719793274,47.2820729870452,36.7594699726481,36.7594699726481,4.635805,4.635805,13.59492,13.59492,setback_5280,0.989578355247565,0.989578355247565
Fresno,534646.881309434,308316.391061522,0.57667294403066,6742072.24951415,1079.35383040915,48.3703503696535,48.6324868795048,12.4671609736842,12.7331944946233,19.1992047368421,18.9168366007177,setback_1000,0.0637209156157555,0.0655757748228284
Fresno,534646.881309434,308316.391061522,0.57667294403066,6742072.24951415,1079.35383040915,48.3703503696535,48.6324868795048,12.4671609736842,12.7331944946233,19.1992047368421,18.9168366007177,setback_2500,0.207945898307443,0.213999018547812
Fresno,534646.881309434,308316.391061522,0.57667294403066,6742072.24951415,1079.35383040915,48.3703503696535,48.6324868795048,12.4671609736842,12.7331944946233,19.1992047368421,18.9168366007177,setback_5280,0.448491064833751,0.461262967985148
Humboldt,81060.8185186256,0,0,0,0,36.7594699726481,36.7594699726481,5.810781,5.810781,14.75105,14.75105,setback_1000,0,0
Humboldt,81060.8185186256,0,0,0,0,36.7594699726481,36.7594699726481,5.810781,5.810781,14.75105,14.75105,setback_2500,0,0
Humboldt,81060.8185186256,0,0,0,0,36.7594699726481,36.7594699726481,5.810781,5.810781,14.75105,14.75105,setback_5280,0,0
Kern,479860.345244718,211094.059049739,0.439907279569196,123333776.776619,13531.5973841221,49.8579121299543,49.8560826820872,8.16236067961848,8.16237366021842,22.6915569678715,22.6915933285565,setback_1000,0.112034229541098,0.1120347067982
Kern,479860.345244718,211094.059049739,0.439907279569196,123333776.776619,13531.5973841221,49.8579121299543,49.8560826820872,8.16236067961848,8.16237366021842,22.6915569678715,22.6915933285565,setback_2500,0.206807425382347,0.206806952840456
Kern,479860.345244718,211094.059049739,0.439907279569196,123333776.776619,13531.5973841221,49.8579121299543,49.8560826820872,8.16236067961848,8.16237366021842,22.6915569678715,22.6915933285565,setback_5280,0.340740724106336,0.340736728484096
Kings,80559.6537356592,25107.2959680042,0.311660922108589,160041.935290507,31.2554477309727,32.0647810418129,31.3205514430389,5.8818576,6.14221451660446,27.181718,27.0065935876859,setback_1000,0.00249757285360761,0.00275218944263697
Kings,80559.6537356592,25107.2959680042,0.311660922108589,160041.935290507,31.2554477309727,32.0647810418129,31.3205514430389,5.8818576,6.14221451660446,27.181718,27.0065935876859,setback_2500,0.0141862874557299,0.0156325171894294
Kings,80559.6537356592,25107.2959680042,0.311660922108589,160041.935290507,31.2554477309727,32.0647810418129,31.3205514430389,5.8818576,6.14221451660446,27.181718,27.0065935876859,setback_5280,0.0620685586559263,0.0674040999846943
