id,share_dac,share_dac_weighted,affected_pop
1,0.41663696,0.485121764,7564.36999
2,0.125201814,0.177002828,1145.47881
3,0.408869984,0.358567105,542.5401169
4,0.024370821,0.105789878,495.8269202
5,0,0.244794261,167.7702069
6,0,0.156827218,234.3747836
7,0,0.259158929,129.6514687
8,0,0.107671199,303.1733598
9,0.362810583,0.297459569,327.8301666
10,0.05417971,0.083748423,1179.163621
11,0.393231983,0.49960123,329.9339782
12,0,0.090305592,309.429228
13,0.090955953,0.252195243,194.7317448
14,0.508205218,0.19022459,1224.305405
15,0.576587926,0.445133318,535.691043
16,0,0.052690671,495.6052434
17,0.071215664,0.064615821,1018.535741
18,0.101476704,0.132459121,703.2446411
19,0.345617882,0.314251148,277.0182509
20,0.488974243,0.378946886,356.9075825
21,0,0.116683704,68.65034933
22,0.501701323,0.307493958,317.3874155
23,0,0.157195146,177.3917562
24,0.407454291,0.287687066,216.300425
25,0.031554931,0.176227907,199.6807724
26,0,0.166755924,161.6852925
