field_name_adj,year,indicator,cost,indicator_name
Coalinga,1981,m_capex_imputed,8.10078925,CapEx
Coalinga,1982,m_opex_imputed,5.952208375,OpEx
Coalinga,1982,m_capex_imputed,8.514214,CapEx
Coalinga,1983,m_opex_imputed,3.508171375,OpEx
Coalinga,1983,m_capex_imputed,7.9451995,CapEx
Coalinga,1984,m_opex_imputed,3.445555375,OpEx
Coalinga,1984,m_capex_imputed,7.90867575,CapEx
Coalinga,1985,m_opex_imputed,3.448594875,OpEx
Coalinga,1985,m_capex_imputed,8.0364945,CapEx
Coalinga,1986,m_opex_imputed,2.346216625,OpEx
Coalinga,1986,m_capex_imputed,7.792496875,CapEx
Coalinga,1987,m_opex_imputed,2.446237625,OpEx
Coalinga,1987,m_capex_imputed,7.68831235,CapEx
Coalinga,1988,m_opex_imputed,2.415718875,OpEx
Coalinga,1988,m_capex_imputed,7.888518,CapEx
Coalinga,1989,m_opex_imputed,2.636480125,OpEx
Coalinga,1989,m_capex_imputed,7.8972495,CapEx
Coalinga,1990,m_opex_imputed,3.055735875,OpEx
Coalinga,1990,m_capex_imputed,7.95556425,CapEx
Coalinga,1991,m_opex_imputed,2.828405125,OpEx
Coalinga,1991,m_capex_imputed,7.95435825,CapEx
Coalinga,1992,m_opex_imputed,2.490861625,OpEx
Coalinga,1992,m_capex_imputed,7.91709775,CapEx
Coalinga,1993,m_opex_imputed,2.382495875,OpEx
Coalinga,1993,m_capex_imputed,7.9497265,CapEx
Coalinga,1994,m_opex_imputed,2.357653875,OpEx
Coalinga,1994,m_capex_imputed,7.99103025,CapEx
Coalinga,1995,m_opex_imputed,2.384563875,OpEx
Coalinga,1995,m_capex_imputed,8.1398895,CapEx
Coalinga,1996,m_opex_imputed,2.583800375,OpEx
Coalinga,1996,m_capex_imputed,8.314826,CapEx
Coalinga,1997,m_opex_imputed,2.566475625,OpEx
Coalinga,1997,m_capex_imputed,8.61366225,CapEx
Coalinga,1998,m_opex_imputed,2.363681875,OpEx
Coalinga,1998,m_capex_imputed,8.71656625,CapEx
Coalinga,1999,m_opex_imputed,2.684803125,OpEx
Coalinga,1999,m_capex_imputed,8.56791075,CapEx
Coalinga,2000,m_opex_imputed,3.021468875,OpEx
Coalinga,2000,m_capex_imputed,8.91912775,CapEx
Coalinga,2001,m_opex_imputed,3.266947875,OpEx
Coalinga,2001,m_capex_imputed,9.7914635,CapEx
Coalinga,2002,m_opex_imputed,3.466712625,OpEx
Coalinga,2002,m_capex_imputed,10.2502365,CapEx
Coalinga,2003,m_opex_imputed,4.000957375,OpEx
Coalinga,2003,m_capex_imputed,10.100875,CapEx
Coalinga,2004,m_opex_imputed,4.167914125,OpEx
Coalinga,2004,m_capex_imputed,10.51665275,CapEx
Coalinga,2005,m_opex_imputed,4.749429125,OpEx
Coalinga,2005,m_capex_imputed,11.662541,CapEx
Coalinga,2006,m_opex_imputed,5.666530875,OpEx
Coalinga,2006,m_capex_imputed,13.37170875,CapEx
Coalinga,2007,m_opex_imputed,7.14778525,OpEx
Coalinga,2007,m_capex_imputed,13.619807,CapEx
Coalinga,2008,m_opex_imputed,9.006142,OpEx
Coalinga,2008,m_capex_imputed,13.53460725,CapEx
Coalinga,2009,m_opex_imputed,10.976085,OpEx
Coalinga,2009,m_capex_imputed,10.01076675,CapEx
Coalinga,2010,m_opex_imputed,12.0432445,OpEx
Coalinga,2010,m_capex_imputed,10.57605725,CapEx
Coalinga,2011,m_opex_imputed,15.6106525,OpEx
Coalinga,2011,m_capex_imputed,11.99053125,CapEx
Coalinga,2012,m_opex_imputed,15.8645025,OpEx
Coalinga,2012,m_capex_imputed,13.46653875,CapEx
Coalinga,2013,m_opex_imputed,16.2962025,OpEx
Coalinga,2013,m_capex_imputed,13.4996285,CapEx
Coalinga,2014,m_opex_imputed,15.99393,OpEx
Coalinga,2014,m_capex_imputed,13.69110025,CapEx
Coalinga,2015,m_opex_imputed,12.4871175,OpEx
Coalinga,2015,m_capex_imputed,11.43129975,CapEx
Coalinga,2016,m_opex_imputed,11.33770325,OpEx
Coalinga,2016,m_capex_imputed,10.49909475,CapEx
Coalinga,2017,m_opex_imputed,12.12481425,OpEx
Coalinga,2017,m_capex_imputed,13.20041775,CapEx
Coalinga,2018,m_opex_imputed,13.3583275,OpEx
Coalinga,2018,m_capex_imputed,14.06222975,CapEx
Coalinga,2019,m_opex_imputed,12.90441925,OpEx
Coalinga,2019,m_capex_imputed,14.76080725,CapEx
Cymric,1977,m_opex_imputed,,OpEx
Cymric,1977,m_capex_imputed,,CapEx
Cymric,1978,m_opex_imputed,1.4411323625,OpEx
Cymric,1978,m_capex_imputed,5.3305590125,CapEx
Cymric,1979,m_opex_imputed,2.0154909875,OpEx
Cymric,1979,m_capex_imputed,5.4388721625,CapEx
Cymric,1980,m_opex_imputed,3.1229394875,OpEx
Cymric,1980,m_capex_imputed,5.6975204375,CapEx
Cymric,1981,m_opex_imputed,5.0435779875,OpEx
Cymric,1981,m_capex_imputed,6.1559172,CapEx
Cymric,1982,m_opex_imputed,8.2478638625,OpEx
Cymric,1982,m_capex_imputed,6.5816179,CapEx
Cymric,1983,m_opex_imputed,4.670234525,OpEx
Cymric,1983,m_capex_imputed,5.989310975,CapEx
Cymric,1984,m_opex_imputed,4.6526677625,OpEx
Cymric,1984,m_capex_imputed,5.9495620375,CapEx
Cymric,1985,m_opex_imputed,5.6863535125,OpEx
Cymric,1985,m_capex_imputed,6.0259476875,CapEx
Cymric,1986,m_opex_imputed,3.7841395125,OpEx
Cymric,1986,m_capex_imputed,6.697874375,CapEx
Cymric,1987,m_opex_imputed,3.8626833875,OpEx
Cymric,1987,m_capex_imputed,6.1880979625,CapEx
Cymric,1988,m_opex_imputed,3.937974775,OpEx
Cymric,1988,m_capex_imputed,6.043312625,CapEx
Cymric,1989,m_opex_imputed,4.3130403125,OpEx
Cymric,1989,m_capex_imputed,5.9228346875,CapEx
Cymric,1990,m_opex_imputed,5.0490711875,OpEx
Cymric,1990,m_capex_imputed,5.9615266,CapEx
Cymric,1991,m_opex_imputed,4.8554554375,OpEx
Cymric,1991,m_capex_imputed,5.9364008625,CapEx
Cymric,1992,m_opex_imputed,4.2342638125,OpEx
Cymric,1992,m_capex_imputed,5.8139204375,CapEx
Cymric,1993,m_opex_imputed,4.0692894375,OpEx
Cymric,1993,m_capex_imputed,5.8209019,CapEx
Cymric,1994,m_opex_imputed,4.0773156875,OpEx
Cymric,1994,m_capex_imputed,5.836621375,CapEx
Cymric,1995,m_opex_imputed,4.1327749375,OpEx
Cymric,1995,m_capex_imputed,5.944642525,CapEx
Cymric,1996,m_opex_imputed,4.4624749375,OpEx
Cymric,1996,m_capex_imputed,6.10357545,CapEx
Cymric,1997,m_opex_imputed,4.4778915625,OpEx
Cymric,1997,m_capex_imputed,6.3206134,CapEx
Cymric,1998,m_opex_imputed,4.2627764375,OpEx
Cymric,1998,m_capex_imputed,6.3932910875,CapEx
Cymric,1999,m_opex_imputed,4.7294231875,OpEx
Cymric,1999,m_capex_imputed,6.2584485625,CapEx
Cymric,2000,m_opex_imputed,5.0161244375,OpEx
Cymric,2000,m_capex_imputed,6.4478374375,CapEx
Cymric,2001,m_opex_imputed,5.3192549375,OpEx
Cymric,2001,m_capex_imputed,6.087034625,CapEx
Cymric,2002,m_opex_imputed,5.5987133125,OpEx
Cymric,2002,m_capex_imputed,6.6710698625,CapEx
Cymric,2003,m_opex_imputed,6.4256435625,OpEx
Cymric,2003,m_capex_imputed,6.60193825,CapEx
Cymric,2004,m_opex_imputed,7.3213921875,OpEx
Cymric,2004,m_capex_imputed,7.4355272375,CapEx
Cymric,2005,m_opex_imputed,8.8120118125,OpEx
Cymric,2005,m_capex_imputed,9.504021125,CapEx
Cymric,2006,m_opex_imputed,10.8904689375,OpEx
Cymric,2006,m_capex_imputed,10.107608125,CapEx
Cymric,2007,m_opex_imputed,13.541206375,OpEx
Cymric,2007,m_capex_imputed,10.432543375,CapEx
Cymric,2008,m_opex_imputed,17.223161,OpEx
Cymric,2008,m_capex_imputed,10.480175,CapEx
Cymric,2009,m_opex_imputed,16.62930875,OpEx
Cymric,2009,m_capex_imputed,7.14098,CapEx
Cymric,2010,m_opex_imputed,17.74217725,OpEx
Cymric,2010,m_capex_imputed,8.106906625,CapEx
Cymric,2011,m_opex_imputed,20.63371,OpEx
Cymric,2011,m_capex_imputed,8.9571403375,CapEx
Cymric,2012,m_opex_imputed,20.9815375,OpEx
Cymric,2012,m_capex_imputed,11.332269875,CapEx
Cymric,2013,m_opex_imputed,21.73508875,OpEx
Cymric,2013,m_capex_imputed,12.96710075,CapEx
Cymric,2014,m_opex_imputed,21.586685,OpEx
Cymric,2014,m_capex_imputed,12.243961375,CapEx
Cymric,2015,m_opex_imputed,17.67844625,OpEx
Cymric,2015,m_capex_imputed,9.969143375,CapEx
Cymric,2016,m_opex_imputed,16.426342875,OpEx
